PC1,PC2,Cluster
-3.811235012606735,0.3823416429150858,2
0.8661922056948583,0.0629945289600359,0
1.8542407813749608,-1.491155586238876,1
2.4273947156881848,-2.274203292363305,1
-3.075048745858092,1.761311342636535,2
-0.0005425525265461,3.650380337350334,0
-3.9577263154645865,1.64777416569963,2
-0.1260162617774887,0.3920258314944697,0
-4.246382134373208,0.8897479727244001,2
2.4468720856905,-1.4700194968871412,1
2.354775426800083,1.9690019744550984,0
-0.0622408271798799,2.824693026099481,0
-3.3788917544134964,0.1116073244481387,2
3.2378861532068,0.7675929102066802,0
-3.1865287127825224,0.0493586810129031,2
2.1123878360537542,-0.4453937827183358,1
3.3035317926108725,1.3436919195905612,0
4.045732482112503,1.307743122978145,0
-4.689062760642086,1.664346754345447,2
-1.7796960162126858,2.000072562449471,2
-0.2317177930532815,-3.412438703639142,1
4.031593686288616,1.0695551318294934,0
0.9660520242395604,-3.029067055010651,1
1.6754282805432763,1.1099989920226807,0
-1.6393527913272672,0.5509732814370834,2
-0.9308089904242616,2.2694992539885623,2
-1.126315048627221,0.1521989368489456,2
-0.4268594879662592,-2.4294898687413253,1
4.31684372591129,0.8759323294828861,0
1.4994665672978575,-2.4405621956109,1
1.4333810635683182,1.2653354269980974,0
2.892627140901624,0.8283765078745267,0
0.7673487089819193,4.6955857101020415,0
2.0558161321164623,-1.851491680172875,1
-2.9841315051030968,0.5209440692879692,2
3.040350095809797,2.061098283938133,0
-0.4950408217667739,4.239977523693773,0
-0.4148357242581124,-3.6729399403679936,1
0.5048956437779323,-2.371948969830112,1
3.9800103089540304,1.9888020569423877,0
3.4918230299648,0.0368680404257674,0
-2.0330617191424887,2.550903411364573,2
-2.661449317738399,-1.3898514600830407,2
-2.7771143271073653,-0.8253431319297908,2
1.9128234254970395,-0.0057019846106507,0
-3.364880938427534,-0.3384432009157057,2
1.627683155522218,-0.9027845111864298,1
1.2821830595129735,3.7835401368505774,0
-1.9935903751663648,0.3480550306968403,2
2.2185783207883136,0.3206010664438107,0
-0.4930932115056149,-0.2396124250766046,1
2.1052915973670587,1.7852512272201262,0
-4.251183287813973,2.13945896147624,2
-3.551204955511023,1.721439545785196,2
3.8808585029105616,1.3783321350770388,0
0.7666155890828246,3.115590369517082,0
-3.220120606728517,-3.317308885680502,2
4.015698039968198,1.872763274011108,0
1.952985808623276,0.8451864033678931,0
-0.222350977956515,-2.654813714774728,1
3.3797542045565407,3.2842120711462788,0
2.1110147889586464,-1.6669645190487117,1
-0.100903299519419,-1.1330574650492735,1
-3.1649508098840395,-0.58435429632451,2
-1.53215767009489,2.202463357894413,2
-2.731157786718299,-1.0608997845786825,2
-1.9322317653615573,1.6173402292364956,2
-0.7396458258247774,-3.9565833857236057,1
4.21403082270947,1.022188754701649,0
-2.5638426037535864,-0.2131148440297295,2
-1.0796034451670604,-0.8113904906774344,2
-4.014277910787165,2.138874859502657,2
2.6017159652839816,-1.1925804200451509,1
0.935142662179956,-0.9534595812283252,1
-0.4904797010333935,-0.9438010883753096,1
1.6861106022285504,1.3131685130670767,0
0.4742069495542189,1.1813250798476067,0
1.9143143768962887,5.033803574162935,0
0.9243625292664476,-1.5841079609024962,1
-3.192085410138507,0.302558129360277,2
1.26158217229464,1.106640455629029,0
-0.7233161555859436,0.1745590283792903,2
-3.7133813445165393,1.4323036999524787,2
0.714200488894189,2.2221432595907884,0
2.3201361466375423,0.3078201722123758,0
1.8133519353775809,0.4757760014874565,0
-0.7047218627855899,3.0009037956624063,0
3.70619409356289,1.0109368495331863,0
-3.8148580007508905,-0.68215966383782,2
1.2566191982174175,1.3738297050560373,0
0.7769910777753132,-2.769684169827268,1
-2.9052947903028525,-0.6211451704779114,2
-3.8707258044258026,1.2084101112111902,2
1.917352455608042,-0.9595163888868996,1
-2.739363496910333,-0.5832978573807931,2
3.539604039400175,0.4549680572011917,0
-0.4997981899278954,-4.86244479825512,1
-2.3967591951019083,2.3157014458820844,2
2.2777561329784093,-0.3627129036740896,0
3.7132990851244094,1.1479148843891167,0
-0.4204484682913497,1.6264404970398816,0
3.3545550295383686,2.634441691083731,0
